JUSTICE,PHRASE,AT_WINNER_COUNT,AT_LOSER_COUNT,AT_WINNER_PERCENT,AT_LOSER_PERCENT,SGD_LOG_SCORE,NB_LOG_SCORE,RF_IMP_SCORE
ROBERTS,to me to,14,15,0.4827586206896552,0.5172413793103448,-0.4341355101186943,-6.879285874817431,
ROBERTS,in the statute,10,1,0.9090909090909091,0.09090909090909094,0.7125322843453791,-6.8806946622453005,
ROBERTS,friend on the,10,6,0.625,0.375,0.27946426825085174,-6.883530112647502,
ROBERTS,you would have,10,11,0.47619047619047616,0.5238095238095238,,-6.885978671835668,
ROBERTS,you think its,9,7,0.5625,0.4375,0.294246725494664,-6.890130316761603,
ROBERTS,to be that,8,5,0.6153846153846154,0.3846153846153846,0.4026776434780536,-6.891146467393382,
ROBERTS,is that you,14,6,0.7,0.30000000000000004,0.3556072347533854,-6.891613932314263,
ROBERTS,would have been,11,4,0.7333333333333333,0.2666666666666667,,-6.892118277580453,
ROBERTS,part of the,16,11,0.5925925925925926,0.40740740740740744,,-6.895970219734194,
ROBERTS,your position is,6,5,0.5454545454545454,0.4545454545454546,0.25941385301324765,-6.896644323634902,
ROBERTS,has to be,12,10,0.5454545454545454,0.4545454545454546,,-6.898386851264216,
ROBERTS,in light of,8,5,0.6153846153846154,0.3846153846153846,0.3285686816867306,-6.910366288741645,
KENNEDY,seems to me,105,70,0.6,0.4,-0.29744331842883964,-5.4047216556373865,0.0037571780811285304
KENNEDY,it seems to,77,55,0.5833333333333334,0.41666666666666663,-0.5559621681925881,-5.4579273940508015,0.00588893658590444
KENNEDY,to me that,69,38,0.6448598130841121,0.3551401869158879,,-5.6666420240555375,0.0033761220691488967
KENNEDY,whether or not,51,23,0.6891891891891891,0.31081081081081086,0.7685964829061231,-5.706257828805057,0.001566426105772235
KENNEDY,in this case,50,27,0.6493506493506493,0.35064935064935066,0.32648149881665073,-5.734185345872035,0.00207390313730171
KENNEDY,to say that,40,23,0.6349206349206349,0.3650793650793651,,-5.975115340456005,0.0022647097640475715
KENNEDY,of the case,28,13,0.6829268292682927,0.31707317073170727,0.7030810793570113,-6.008692891519553,0.0013087374018865433
KENNEDY,you have to,29,12,0.7073170731707317,0.29268292682926833,,-6.0332464820913305,0.005653944520861436
KENNEDY,im not sure,0,0,,,0.3646920328318388,-6.065141328296292,
KENNEDY,has to be,31,14,0.6888888888888889,0.3111111111111111,,-6.108183700800595,0.001558718524805827
KENNEDY,is that the,31,11,0.7380952380952381,0.26190476190476186,,-6.152478325924212,0.002676304757733249
KENNEDY,the district court,24,12,0.6666666666666666,0.33333333333333337,-0.4323865698534267,-6.177628101960215,0.007320087780008427
KENNEDY,what is the,15,6,0.7142857142857143,0.2857142857142857,0.9062358904598574,-6.223270799784393,
KENNEDY,it would be,20,6,0.7692307692307693,0.23076923076923073,0.766861868932386,-6.235339486676345,0.002069822373049319
KENNEDY,going to be,24,15,0.6153846153846154,0.3846153846153846,,-6.240235482216568,0.0027569132616019182
KENNEDY,that there is,25,23,0.5208333333333334,0.47916666666666663,-0.588751486284701,-6.242848338966451,0.0033961427046613852
KENNEDY,you tell me,24,7,0.7741935483870968,0.22580645161290325,0.661821020996811,-6.261985841719047,
KENNEDY,are you saying,12,3,0.8,0.19999999999999996,0.5919355370614376,-6.275957495139417,
KENNEDY,we have to,23,10,0.696969696969697,0.303030303030303,0.6496085420781257,-6.32332547235946,
KENNEDY,do you have,11,7,0.6111111111111112,0.38888888888888884,,-6.325023064596734,0.0014787758352032294
KENNEDY,in your view,16,11,0.5925925925925926,0.40740740740740744,0.3222004982412824,-6.3293035050092,0.001548976441499492
KENNEDY,can you tell,7,1,0.875,0.125,0.6472865361978382,-6.337332737376271,
KENNEDY,do you think,16,7,0.6956521739130435,0.30434782608695654,,-6.375790122190565,0.0011325336347926124
KENNEDY,you saying that,12,5,0.7058823529411765,0.2941176470588235,0.5715741159253719,-6.412906990675488,
KENNEDY,the fact that,20,19,0.5128205128205128,0.4871794871794872,-0.6029003823080714,-6.415556420126116,0.004495911940165374
KENNEDY,but it seems,15,7,0.6818181818181818,0.31818181818181823,,-6.4183459874756785,
KENNEDY,and so forth,24,16,0.6,0.4,-0.4295163035375916,-6.449556236440973,0.006008569133394752
KENNEDY,in order to,20,16,0.5555555555555556,0.4444444444444444,-0.5340605313522283,-6.45194787878247,0.003752201582244545
KENNEDY,were going to,22,5,0.8148148148148148,0.18518518518518523,0.5612588173726528,-6.468278033917577,
KENNEDY,the court of,16,7,0.6956521739130435,0.30434782608695654,,-6.491417929521345,
KENNEDY,that there was,21,8,0.7241379310344828,0.27586206896551724,,-6.5068734829152,0.004306139214883683
KENNEDY,with respect to,11,4,0.7333333333333333,0.2666666666666667,0.5790326884353063,-6.514662891081221,
KENNEDY,part of the,20,18,0.5263157894736842,0.4736842105263158,-0.45268704347962846,-6.515498038823247,0.0011197056568903205
KENNEDY,that this is,22,15,0.5945945945945946,0.4054054054054054,-0.42122089155984416,-6.515981702735567,0.00325443334367594
KENNEDY,the question is,13,4,0.7647058823529411,0.23529411764705888,,-6.5245872914846315,
